iter	Passed	Remaining
0	215	215470
1	282	140948
2	349	116054
3	412	102625
4	482	95921
5	545	90323
6	609	86410
7	671	83242
8	737	81174
9	803	79589
10	871	78333
11	942	77619
12	1010	76685
13	1071	75462
14	1141	74967
15	1202	73929
16	1263	73072
17	1325	72322
18	1387	71647
19	1450	71056
20	1512	70500
21	1575	70049
22	1636	69508
23	1696	68975
24	1756	68486
25	1813	67941
26	1877	67652
27	1939	67325
28	2003	67088
29	2064	66741
30	2123	66387
31	2186	66132
32	2245	65803
33	2307	65548
34	2367	65266
35	2444	65447
36	2503	65163
37	2565	64948
38	2627	64734
39	2683	64394
40	2746	64239
41	2806	64022
42	2867	63824
43	2928	63630
44	2987	63391
45	3043	63109
46	3100	62864
47	3160	62685
48	3217	62449
49	3278	62296
50	3338	62116
51	3401	62014
52	3460	61827
53	3520	61677
54	3575	61435
55	3631	61217
56	3688	61022
57	3742	60783
58	3798	60584
59	3859	60464
60	3917	60299
61	3976	60160
62	4036	60033
63	4090	59817
64	4147	59663
65	4208	59551
66	4267	59428
67	4326	59304
68	4388	59217
69	4453	59167
70	4566	59750
71	4629	59670
72	4689	59548
73	4749	59427
74	4809	59311
75	4866	59171
76	4924	59030
77	4981	58883
78	5038	58744
79	5108	58747
80	5175	58716
81	5243	58707
82	5317	58751
83	5380	58669
84	5446	58632
85	5519	58660
86	5581	58573
87	5638	58430
88	5700	58351
89	5760	58241
90	5820	58139
91	5878	58018
92	5933	57872
93	5991	57751
94	6050	57642
95	6107	57512
96	6163	57376
97	6217	57223
98	6292	57272
99	6353	57179
100	6413	57084
101	6480	57053
102	6538	56941
103	6613	56973
104	6669	56852
105	6725	56722
106	6777	56565
107	6828	56400
108	6883	56270
109	6939	56144
110	6994	56020
111	7052	55916
112	7114	55846
113	7170	55731
114	7226	55611
115	7286	55525
116	7342	55410
117	7399	55306
118	7452	55176
119	7508	55065
120	7568	54978
121	7627	54892
122	7682	54775
123	7739	54675
124	7793	54553
125	7845	54421
126	7900	54311
127	7957	54211
128	8020	54152
129	8088	54132
130	8144	54026
131	8198	53911
132	8254	53808
133	8311	53711
134	8366	53604
135	8442	53636
136	8502	53557
137	8560	53470
138	8614	53362
139	8670	53264
140	8778	53479
141	8845	53443
142	8907	53384
143	8965	53296
144	9023	53205
145	9075	53085
146	9130	52984
147	9184	52871
148	9242	52788
149	9295	52676
150	9348	52561
151	9401	52451
152	9460	52372
153	9521	52304
154	9572	52186
155	9627	52088
156	9684	51999
157	9752	51972
158	9808	51878
159	9861	51771
160	9919	51690
161	9993	51695
162	10058	51649
163	10114	51559
164	10169	51465
165	10226	51377
166	10282	51290
167	10339	51202
168	10396	51121
169	10456	51052
170	10512	50965
171	10572	50897
172	10628	50807
173	10687	50735
174	10742	50644
175	10798	50555
176	10854	50470
177	10912	50393
178	10971	50319
179	11027	50236
180	11081	50140
181	11138	50063
182	11197	49990
183	11259	49934
184	11312	49836
185	11368	49752
186	11428	49687
187	11483	49600
188	11542	49528
189	11599	49448
190	11662	49396
191	11715	49301
192	11773	49228
193	11828	49144
194	11891	49092
195	11951	49023
196	12008	48949
197	12064	48866
198	12121	48791
199	12176	48707
200	12234	48634
201	12288	48546
202	12349	48485
203	12407	48415
204	12467	48351
205	12522	48266
206	12576	48178
207	12631	48098
208	12683	48004
209	12741	47933
210	12803	47877
211	12864	47816
212	12919	47737
213	12976	47660
