iter	Passed	Remaining
0	145	72805
1	153	38150
2	157	26103
3	163	20225
4	169	16762
5	186	15386
6	194	13682
7	203	12517
8	213	11648
9	221	10835
10	230	10254
11	237	9642
12	249	9327
13	258	8958
14	265	8593
15	274	8315
16	290	8256
17	311	8349
18	356	9021
19	381	9152
20	413	9438
21	421	9167
22	436	9061
23	448	8903
24	463	8799
25	474	8647
26	485	8504
27	496	8368
28	506	8228
29	519	8135
30	526	7970
31	535	7825
32	544	7704
33	556	7625
34	567	7536
35	576	7427
36	582	7292
37	591	7186
38	599	7090
39	607	6982
40	614	6877
41	621	6775
42	629	6689
43	638	6612
44	646	6536
45	652	6439
46	661	6375
47	670	6317
48	679	6255
49	687	6185
50	692	6099
51	700	6034
52	707	5963
53	719	5943
54	736	5956
55	756	6000
56	795	6182
57	826	6297
58	845	6316
59	856	6284
60	874	6290
61	886	6265
62	906	6286
63	920	6267
64	943	6314
65	975	6416
66	1002	6477667	1033	6568
68	1047	6541669	1071	6583
70	1090	6586
71	1106	6579
72	1129	6608
73	1140	6563
74	1161	6579
75	1177	6569
76	1197	6577
77	1212	6561
78	1228	6545
79	1270	6672
80	1316	6811
81	1329	6779
82	1338	6726
83	1358	6729
84	1375	6715
85	1380	6647
86	1387	6587887	1396	6536888	1403	6481889	1412	643390	1423	6399
91	1434	6363
92	1443	6319
93	1452	6274
94	1461	6229
95	1468	6181
96	1477	6136
97	1487	6102
98	1496	6061
99	1507	6028
100	1515	5988
101	1523	5945
102	1530	5899
103	1536	5849
104	1547	5821
105	1557	5787
106	1564	5744
107	1570	5701
108	1577	5659
109	1583	5615
110	1594	5586
111	1601	5548
112	1610	5513
113	1617	5476
114	1624	5440
115	1632	5403
116	1639	5366
117	1647	5332
118	1653	5293
119	1660	5258
120	1669	5229
121	1677	5196
122	1687	5171
123	1693	5134
124	1699	5097
125	1705	5061
126	1711	5026
127	1718	4994
128	1724	4960
129	1729	4923
130	1735	4889
131	1743	4859
132	1749	4826
133	1756	4797
134	1765	4774
135	1772	4745
136	1779	4714
137	1786	4685
138	1791	4652
139	1798	4624
140	1804	4593
141	1809	4561
142	1821	4547
143	1835	4537
144	1843	4514
145	1850	4487
146	1859	4466
147	1870	4448
148	1880	4429
149	1889	4408
150	1898	4387
151	1912	4377
152	1925	4365
153	1933	4344
154	1942	4324
155	1950	4301
156	1959	4281
157	1967	4258
158	1975	4235
159	1982	4212
160	1988	4186
161	1995	4164
162	2005	4147
163	2015	4128
164	2021	4105
165	2032	4088
166	2041	4071
167	2047	4046
168	2055	4026
169	2062	4003
170	2068	3980
171	2076	3960
172	2083	3937
173	2089	3915
174	2098	3896
175	2106	3877
176	2114	3858
177	2124	3842
178	2133	3825
179	2141	3806
180	2147	3785
181	2155	3766
182	2163	3748
183	2170	3727
184	2178	3708
185	2186	3691
186	2195	3674
187	2202	3654
188	2208	3633
189	2215	3614
190	2222	3595
191	2229	3576
192	2237	3558
193	2243	3539
194	2251	3521
195	2258	3502
196	2264	3483
197	2271	3464
198	2277	3445
199	2282	3423
200	2287	3403
201	2294	3385
202	2301	3367
203	2308	3348
204	2314	3330
205	2321	3312
206	2327	3294
207	2334	3276
208	2340	3258
209	2346	3239
210	2352	3221
211	2361	3208
212	2371	3195
213	2381	3183
214	2399	3180
215	2422	3185
216	2445	3188
217	2458	3180
218	2467	3166
219	2479	3155
220	2494	3149
221	2510	3143
222	2524	3136
223	2533	3121
224	2551	3118
225	2559	3103
226	2566	3086
227	2578	3075
228	2587	3062
229	2596	3048
230	2604	3032
231	2613	3018
232	2623	3006
233	2632	2992
234	2641	2978
235	2653	2968
236	2667	2960
237	2676	2946
238	2685	2932
239	2697	2922
240	2718	2921
241	2730	2910
242	2746	2904
243	2762	2898
244	2775	2888
245	2789	2879
246	2797	2865
247	2806	2851
248	2812	2835
249	2819	2819
250	2825	2802
251	2830	2785
252	2835	2768
253	2844	2755
254	2850	2738
255	2857	2723
256	2863	2707
